No.,SUSTANCIA,FORMULA,A,B,C,Tmin,Tmax
280,Isopropil-éter,C6H14O,7.0971,1257.6,230.01,-24,91
281,Alcohol-hexílico,C6H14O,7.8604,1761.26,196.67,35,157
282,Butil-etil-sulfuro,C6H14S,6.94102,1421.32,205.81,33,172
283,Sulfuro-de-isopropilo,C6H14S,6.87118,1327.12,212.55,13,147
284,Metil-pentil-sulfuro,C6H14S,7.11609,1413.44,205.73,70,153
285,Sulfuro-de-propilo,C6H14S,6.93577,1413.44,205.73,32,170
286,1-hexanotiol,C6H14S,6.94664,1454.004,204.954,40,181
287,Disulfuro-de-propilo,C6H14S2,6.97529,1603.793,195.848,73,226
288,Trietilamina,C6H15N,6.8989,1251.8,222.01,-13,127
289,"a,a,a-trifluorotolueno",C7H5F3,6.97045,1306.35,217.38,55,139
290,Benzonitrilo,C7H5N,7.72911,2110.572,244.819,28,191
291,Ácido-benzoico,C7H6O2,7.454,1820,147.96,132,287
292,p-fluorotolueno,C7H7F,6.99426,1374.055,217.4,68,155
293,Tolueno,C7H8,6.95464,1344.8,219.482,6,136
294,"1,3,5-cicloheptatrieno",C7H8,6.97433,1376.84,220.75,0,65
295,m-cresol,C7H8O,7.508,1856.36,199.07,97,207
296,o-cresol,C7H8O,6.9117,1435.5,165.16,97,207
297,p-cresol,C7H8O,7.0351,1511.08,161.86,97,207
298,1-heptina,C7H12,6.68593,1216.6,220,14,142
299,1-hepteno,C7H14,6.90069,1257.505,219.179,-6,118
300,Cicloheptano,C7H14,6.8539,1331.57,216.36,57,162
301,Etilciclopentano,C7H14,6.88709,1298.599,220.675,-3,129
302,"1,1-dimetilciclopentano",C7H14,6.81724,1219.474,221.946,-12,113
303,"c-1,2-dimetilciclopentano",C7H14,6.85008,1269.14,220.209,-3,125
304,"t-1,2-dimetilciclopentano",C7H14,6.84422,1242.748,221.686,-9,117
305,"c-1,3-dimetilciclopentano",C7H14,6.83715,1237.456,222.005,-10,116
306,"t-1,3-dimetilciclopentano",C7H14,6.83817,1240.023,221.621,-9,117
307,Metilciclohexano,C7H14,6.823,1270.763,221.416,-3,127
308,Heptanal,C7H14O,5.47587,686.453,111.817,12,155
309,heptano,C7H16,6.89385,1264.37,216.636,-2,123
310,2-metilhexano,C7H16,6.87318,1236.026,219.545,-9,115
311,3-metilhexano,C7H16,6.86764,1240.196,219.223,-8,117
312,3-etilpentano,C7H16,6.87564,1251.827,219.887,-7,118
313,"2,2-dimetilpentano",C7H16,6.8148,1190.033,223.303,-19,104
314,"2,3-dimetilpentano",C7H16,6.85382,1238.017,221.823,-10,115
315,"2,4-dimetilpentano",C7H16,6.82621,1192.041,221.634,-17,105
316,"3,3-dimetilpentano",C7H16,6.82667,1228.663,225.316,-14,111
317,"2,2,3-trimetilbutano",C7H16,6.7923,1200.563,226.05,-19,106
318,Isopropil-terc-butil-éter,C7H16O,6.62913,1257.6,230.01,41,134
319,Heptil-alcohol,C7H16O,6.6476,1140.64,126.56,60,176
320,Butil-propil-sulfuro,C7H16S,6.65279,1421.32,205.81,99,203
321,Etil-pentil-sulfuro,C7H16S,6.65279,1421.32,205.81,99,203
322,Hexil-metil-sulfuro,C7H16S,6.65279,1421.32,205.81,99,203
323,1-heptanethiol,C7H16S,6.95249,1525.311,197.696,59,206
324,Etilbenceno,C8H6,6.957,1445.58,209.44,82,172
325,Estireno,C8H8,6.9571,1445.58,209.44,32,187
326,"1,3,5,7-ciclooctatetraeno",C8H8,7.00669,1472.11,215.84,0,75
327,Etilbenceno,C8H10,6.95719,1424.255,213.206,26,163
328,m-xileno,C8H10,7.00908,1462.266,215.105,28,166
329,o-xileno,C8H10,6.99891,1474.679,213.686,32,172
330,p-xileno,C8H10,6.99052,1453.43,215.307,27,166
331,1-octino,C8H14,7.02447,1413.8,215,25,170
332,1-octeno,C8H16,6.93263,1353.486,212.764,15,148
333,Ciclooctano,C8H16,6.8619,1437.78,209.98,94,197
334,Propilciclopentano,C8H16,6.90392,1384.386,213.159,21,158
335,Etilciclohexano,C8H16,6.86728,1382.466,214.995,21,160
336,"1,1-dimetilciclohexano",C8H16,6.79821,1321.705,217.845,10,147
337,"c-1,2-dimetilciclohexano",C8H16,6.83746,1367.311,215.835,18,158
338,"t-1,2-dimetilciclohexano",C8H16,6.83308,1353.881,219.132,13,151
339,"c-1,3-dimetilciclohexano",C8H16,6.83883,1338.473,218.072,11,147
340,"t-1,3-dimetilciclohexano",C8H16,6.83455,1343.687,215.394,15,152
341,"c-1,4-dimetilciclohexano",C8H16,6.83287,1345.613,216.154,15,152
342,"t-1,4-dimetilciclohexano",C8H16,6.81773,1330.437,218.581,10,147
343,Octanal,C8H16O,12.51168,3977.531,244.532,73,169
344,Octano,C8H18,6.9094,1349.82,209.385,19,152
345,2-metilheptano,C8H18,6.91735,1337.468,213.693,12,144
346,3-metilheptano,C8H18,6.89944,1331.53,212.414,13,145
347,4-metilheptano,C8H18,6.90065,1327.661,212.568,12,144
348,3-etilhexano,C8H18,6.89098,1327.884,212.595,13,145
349,"2,2-dimetilhexano",C8H18,6.83715,1273.594,215.072,3,133
350,"2,3-dimetilhexano",C8H18,6.87004,1315.503,214.157,10,142
351,"2,4-dimetilhexano",C8H18,6.85305,1287.876,214.79,5,135
352,"2,5-dimetilhexano",C8H18,6.85984,1287.274,214.412,5,135
353,"3,3-dimetilhexano",C8H18,6.85121,1307.882,217.439,6,138
354,"3,4-dimetilhexano",C8H18,6.87986,1330.035,214.863,11,144
355,3-etil-2-metilpentano,C8H18,6.86358,1318.12,215.306,9,142
356,3-etil-3-metilpentano,C8H18,6.86731,1347.209,219.684,10,145
357,"2,2,3-trimetilpentano",C8H18,6.82546,1294.875,218.42,4,136
358,"2,2,4-trimetilpentano",C8H18,6.81189,1257.84,220.735,-4,125
359,"2,3,3-trimetilpentano",C8H18,6.84353,1328.046,220.375,7,142
360,"2,3,4-trimetilpentano",C8H18,6.85396,1315.084,217.526,7,140
361,"2,2,3,3-tetrametilbutano",C8H18,6.87665,1329.93,226.36,103,133
362,Butil-éter,C8H18O,6.9825,1431.5,207.01,32,182
363,sec-butil-éter,C8H18O,6.79153,1348.53,223.79,57,149
364,terc-butil-éter,C8H18O,6.93294,1348.533,223.79,4,109
365,Alcohol-octílico,C8H18O,6.837,1310.62,136.06,70,195
366,Sulfuro-de-butilo,C8H18S,6.54589,1421.32,205.81,106,215
367,Sulfuro-de-etilhexilo,C8H18S,6.42693,1421.32,205.81,115,231
368,Heptil-metil-sulfuro,C8H18S,6.42693,1421.32,205.81,115,231
369,Sulfuro-de-pentilo-propilo,C8H18S,6.42693,1421.32,205.81,115,231
370,1-octanethiol,C8H18S,6.96909,1593,190.61,76,229
371,Disulfuro-de-butilo,C8H18S2,6.9638,1684.1,181.3,101,263
372,Alfa-metilestireno,C9H10,7.0924,1582.7,206.01,75,220
373,"Propenilbenceno,cis",C9H10,7.44961,1909.083,238.874,18,179
374,"Propenilbenceno,trans",C9H10,7.54993,1909.08,238.87,105,197
375,m-metilestireno,C9H10,6.87928,1471.44,200,72,250
376,o-metilestireno,C9H10,6.88461,1485.41,200,75,255
